CARD,DISC,HACK,INSD,PHYS,PORT,STAT,Index,Type
0.001208742,0.015047411,0.020177362,0.9531385,0.007684692,2.34E-06,0.002740992,193,INSD
9.65E-05,8.52E-06,0.99739194,0.002481623,1.24E-05,3.99E-11,9.01E-06,194,HACK
0.000853295,0.005028138,0.033279184,0.9570249,0.00313782,2.21E-07,0.000676419,197,INSD
0.006272128,0.007388343,0.052539352,0.91924256,0.007766319,1.99E-06,0.006789271,209,INSD
0.005907418,0.02647616,0.025614982,0.88730097,0.04088322,3.44E-05,0.013782778,211,INSD
0.001411794,0.3326448,0.000791777,0.10611577,0.51772934,0.005585236,0.035721287,212,PHYS
6.15E-05,0.032917615,0.005932678,0.95761263,0.003256353,2.39E-07,0.000219044,217,INSD
0.00050099,0.008854441,0.01891409,0.96778286,0.003179896,3.64E-07,0.000767268,218,INSD
2.46E-05,0.06440961,0.003384776,0.92831975,0.003730951,2.45E-07,0.000130058,219,INSD
0.001680237,0.027465556,0.017590424,0.93407375,0.011210927,7.21E-06,0.007971898,221,INSD
0.000235217,0.003743052,0.044309493,0.9500977,0.001423609,4.44E-08,0.000190835,222,INSD
0.00350793,0.022014305,0.023984635,0.92214245,0.016949706,1.38E-05,0.011387173,223,INSD
0.000894362,0.013257724,0.019378066,0.959229,0.005046947,1.21E-06,0.002192817,228,INSD
0.00354512,0.011259237,0.033441707,0.9355928,0.009196579,3.35E-06,0.006961283,231,INSD
0.000300477,0.019403005,0.011977066,0.9632792,0.004158034,6.34E-07,0.000881576,232,INSD
0.000763091,0.023361808,0.014858146,0.9507772,0.00755501,2.47E-06,0.002682399,233,INSD
4.26E-06,0.7068225,0.000273181,0.2725817,0.02017288,4.93E-06,0.000140553,237,DISC
0.002321436,0.006013321,0.040399875,0.9441793,0.004737588,6.24E-07,0.002347832,238,INSD
0.037558056,0.01954363,0.042705238,0.8032241,0.029920902,0.000103659,0.066944495,241,INSD
0.007662814,0.021461496,0.029638195,0.89574146,0.020340523,2.55E-05,0.02513004,242,INSD
0.000774635,0.003881384,0.11663525,0.87582153,0.002444686,8.61E-08,0.000442486,243,INSD
0.000544142,0.006007028,0.0230602,0.96739376,0.002370082,1.89E-07,0.000624612,244,INSD
0.002126427,0.033143748,0.017268358,0.91695434,0.023257282,1.58E-05,0.007234172,248,INSD
0.001439564,0.013738511,0.022045536,0.9525023,0.006539171,2.20E-06,0.003732681,255,INSD
0.030122446,0.024553133,0.036666617,0.80173033,0.034684174,0.000136132,0.072107084,257,INSD
0.002962269,0.017428357,0.02519348,0.93387085,0.010729646,6.59E-06,0.009808836,263,INSD
0.003060072,0.01476618,0.027493447,0.93628854,0.009489274,4.80E-06,0.008897633,265,INSD
0.020783255,0.024772016,0.0343492,0.82502,0.031580076,9.26E-05,0.06340274,266,INSD
0.000398804,0.004979309,0.029007982,0.9629541,0.002321892,1.18E-07,0.000337886,267,INSD
0.002086036,0.011569213,0.027579976,0.9471825,0.007528141,2.26E-06,0.004051849,268,INSD
0.00128708,0.005122808,0.03414108,0.9549641,0.003319458,2.96E-07,0.001165274,271,INSD
0.000346458,0.02330697,0.011806301,0.95843273,0.004904424,9.54E-07,0.001202065,279,INSD
0.008774441,0.011826994,0.040966913,0.9125424,0.011676571,8.25E-06,0.014204478,281,INSD
0.00426046,0.014757325,0.030250998,0.9302901,0.010076326,6.47E-06,0.010358419,282,INSD
0.003024232,0.009750574,0.03409421,0.9401674,0.008145072,2.26E-06,0.004816249,284,INSD
0.001057766,0.006330035,0.029680844,0.9584709,0.003242961,3.49E-07,0.001217125,285,INSD
0.43756333,0.006424963,0.15651827,0.34510103,0.013449115,2.91E-05,0.04091419,286,CARD
0.001402803,0.012118517,0.023323515,0.9538322,0.006395353,1.75E-06,0.002925826,290,INSD
0.001641705,0.059463166,0.01247395,0.8905137,0.023993934,2.56E-05,0.011887951,291,INSD
0.00012748,0.11557189,0.008491729,0.8477242,0.027621137,2.97E-06,0.000460671,292,INSD
